Protein,p-value,BV- Avg Count,BV- Avg Transformed Abundance,BV- StDev,BV+ Avg Count,BV+ Avg Transformed Abundance,BV+ StDev,delta
HEAT repeat-containing protein 5B,0.087169474,0,0,0,0.1,2.15E-05,6.79E-05,0.1
Filamin-C,0.087169474,0,0,0,0.1,2.42E-05,7.41E-05,0.1
"Ribosome-releasing factor 2, mitochondrial",0.087169474,0,0,0,0.2,6.41E-05,0.000227415,0.2
Dual oxidase 1,0.087169474,0,0,0,0.1,2.15E-05,6.79E-05,0.1
Reelin,0.087169474,0,0,0,0.1,2.90E-05,8.93E-05,0.1
Spliceosome-associated protein CWC15 homolog,0.087169474,0,0,0,0.1,2.37E-05,7.22E-05,0.1
Zinc finger protein 254,0.087169474,0,0,0,0.1,2.40E-05,7.29E-05,0.1
Dystrobrevin alpha,0.087169474,0,0,0,0.1,2.16E-05,6.63E-05,0.1
Carboxypeptidase M,0.087169474,0,0,0,0.2,3.14E-05,9.60E-05,0.2
Eukaryotic translation initiation factor 6,0.087169474,0,0,0,0.1,1.55E-05,4.74E-05,0.1
Protein FAM208B,0.087169474,0,0,0,0.1,1.58E-05,4.84E-05,0.1
THO complex subunit 1,0.087169474,0,0,0,0.1,1.75E-05,5.42E-05,0.1
Bromodomain adjacent to zinc finger domain protein 2B,0.087169474,0,0,0,0.1,1.67E-05,5.14E-05,0.1
Kinesin-like protein KIF1A,0.087169474,0,0,0,0.1,1.90E-05,6.01E-05,0.1
PR domain zinc finger protein 15,0.087169474,0,0,0,0.1,1.57E-05,4.80E-05,0.1
Spondin-1,0.087169474,0,0,0,0.1,1.67E-05,5.14E-05,0.1
Anaphase-promoting complex subunit 4,0.087169474,0,0,0,0.1,1.58E-05,4.84E-05,0.1
Nucleoprotein TPR,0.087169474,0,0,0,0.1,1.58E-05,4.84E-05,0.1
Mannose-1-phosphate guanyltransferase alpha,0.087169474,0,0,0,0.15,2.59E-05,8.76E-05,0.15
U4/U6.U5 tri-snRNP-associated protein 1,0.087169474,0,0,0,0.1,1.65E-05,5.07E-05,0.1
"Phospholipase A2, membrane associated",0.087169474,0,0,0,0.1,1.66E-05,5.06E-05,0.1
Keratinocyte proline-rich protein,0.087169474,0,0,0,0.35,5.56E-05,0.000208158,0.35
Prostasin,0.087169474,0,0,0,0.15,2.51E-05,7.86E-05,0.15
Cilia- and flagella-associated protein 57,0.087169474,0,0,0,0.1,2.07E-05,6.32E-05,0.1
Hydrocephalus-inducing protein homolog,0.087169474,0,0,0,0.1,2.15E-05,6.58E-05,0.1
Rho-related GTP-binding protein RhoC,0.087169474,0,0,0,0.15,2.41E-05,7.67E-05,0.15
60S ribosomal protein L13a,0.087169474,0,0,0,0.1,1.63E-05,4.97E-05,0.1
Coiled-coil domain-containing protein 9,0.087169474,0,0,0,0.1,1.82E-05,5.55E-05,0.1
"HLA class I histocompatibility antigen, Cw-6 alpha chain",0.087169474,0,0,0,0.1,1.90E-05,5.81E-05,0.1
"HLA class I histocompatibility antigen, Cw-12 alpha chain",0.087169474,0,0,0,0.1,1.90E-05,5.81E-05,0.1
Complement component C9,0.087169474,0,0,0,0.1,2.43E-05,7.44E-05,0.1
"HLA class I histocompatibility antigen, A-36 alpha chain",0.087169474,0,0,0,0.1,2.25E-05,6.86E-05,0.1
DNA-dependent protein kinase catalytic subunit,0.087169474,0,0,0,0.1,2.43E-05,7.44E-05,0.1
Immunoglobulin lambda variable 1-40,0.087169474,0,0,0,0.1,2.17E-05,6.64E-05,0.1
Immunoglobulin heavy variable 7-4-1,0.087169474,0,0,0,0.2,4.34E-05,0.000132853,0.2
"RNA-binding motif protein, X-linked-like-2",0.087169474,0,0,0,0.1,2.17E-05,6.64E-05,0.1
Splicing factor U2AF 35 kDa subunit,0.087169474,0,0,0,0.1,2.07E-05,6.39E-05,0.1
Bifunctional glutamate/proline--tRNA ligase,0.087169474,0,0,0,0.1,2.33E-05,7.08E-05,0.1
Down syndrome cell adhesion molecule,0.087169474,0,0,0,0.1,1.84E-05,5.59E-05,0.1
Transcription factor AP-2-delta,0.087169474,0,0,0,0.1,1.84E-05,5.59E-05,0.1
Zinc finger protein 816,0.087169474,0,0,0,0.1,1.84E-05,5.59E-05,0.1
Prostaglandin reductase 1,0.087169474,0,0,0,0.1,2.25E-05,7.02E-05,0.1
Pescadillo homolog,0.087169474,0,0,0,0.1,1.95E-05,5.97E-05,0.1
Fibroblast growth factor-binding protein 2,0.087169474,0,0,0,0.1,2.17E-05,6.60E-05,0.1
Vesicular glutamate transporter 2,0.087169474,0,0,0,0.1,2.21E-05,6.71E-05,0.1
"Glutamate receptor ionotropic, NMDA 2A",0.087169474,0,0,0,0.1,1.90E-05,5.89E-05,0.1
Headcase protein homolog,0.087169474,0,0,0,0.1,1.96E-05,6.09E-05,0.1
40S ribosomal protein S5,0.087169474,0,0,0,0.1,1.83E-05,5.62E-05,0.1
Transmembrane protease serine 11A,0.087169474,0,0,0,0.1,1.96E-05,6.09E-05,0.1
Chromatin-remodeling ATPase INO80,0.087169474,0,0,0,0.1,2.42E-05,7.44E-05,0.1
Eosinophil peroxidase,0.087664378,0.888888889,0.000137796,0.000193674,0.6,0.000138532,0.000318044,-0.288888889
Histone H3.3C,0.088375733,4,0.000592868,0.000480976,1.95,0.000397078,0.000345227,-2.05
"Keratin, type I cuticular Ha3-I",0.089136158,2.555555556,0.000367461,0.000315829,2.4,0.000513841,0.000402623,-0.155555556
"Malate dehydrogenase, mitochondrial",0.090378587,7.666666667,0.001174302,0.000816598,3.75,0.000870556,0.00072882,-3.916666667
Ubiquitin carboxyl-terminal hydrolase isozyme L3,0.090392277,0.555555556,8.43E-05,7.80E-05,0.25,5.34E-05,9.64E-05,-0.305555556
Immunoglobulin heavy variable 1-18,0.090392277,0.444444444,7.64E-05,0.000175579,0.7,0.000144835,0.000217509,0.255555556
"Citrate synthase, mitochondrial",0.090392277,1.111111111,0.000175074,0.0002194,0.3,9.02E-05,0.000166099,-0.811111111
Histone H1t,0.090620676,5.777777778,0.000898337,0.000435558,3.65,0.000776153,0.000549632,-2.127777778
Immunoglobulin lambda-1 light chain,0.090647555,12.77777778,0.001941172,0.000940879,16.15,0.003704055,0.002873506,3.372222222
Gelsolin,0.090647555,9.222222222,0.001414748,0.001023466,5.8,0.001286746,0.001100185,-3.422222222
Myosin light polypeptide 6,0.090647555,11,0.001645649,0.00067911,9.4,0.001952442,0.000678814,-1.6
40S ribosomal protein S21,0.093780339,0.444444444,6.88E-05,0.000111661,0.3,4.59E-05,0.000118804,-0.144444444
Resistin,0.093780339,0.222222222,3.27E-05,9.53E-05,0.65,0.00013274,0.000248886,0.427777778
Inter-alpha-trypsin inhibitor heavy chain H1,0.093780339,2,0.000301978,0.000508727,0.95,0.000215754,0.000587706,-1.05
Methanethiol oxidase,0.093780339,0.777777778,0.000117401,0.000191162,0.5,0.000120152,0.000352938,-0.277777778
26S proteasome regulatory subunit 8,0.093780339,0.111111111,1.65E-05,4.81E-05,0.35,5.93E-05,0.000111148,0.238888889
Epiplakin,0.093780339,0.444444444,6.93E-05,0.000107615,0.25,4.37E-05,0.00011627,-0.194444444
60S ribosomal protein L6,0.096664013,1.777777778,0.000268901,0.000301691,1.15,0.000214608,0.000356008,-0.627777778
Tubulin beta-1 chain,0.101149942,2,0.000306742,0.00010086,1.15,0.000229684,0.000184918,-0.85
WAP four-disulfide core domain protein 2,0.102086687,0.888888889,0.000126142,0.000240461,1.55,0.000290529,0.000443031,0.661111111
"Actin, aortic smooth muscle",0.102128056,128.2222222,0.019359824,0.005535445,80.8,0.017679963,0.006465616,-47.42222222
Annexin A1,0.102128056,191.2222222,0.028684359,0.010844719,160.75,0.036904639,0.019484387,-30.47222222
Guanylate-binding protein 6,0.102128056,16.44444444,0.002394938,0.000818315,15.9,0.003452424,0.002464829,-0.544444444
Myosin-9,0.102128056,45.11111111,0.006764356,0.003314267,38.65,0.008248203,0.004323748,-6.461111111
Immunoglobulin lambda constant 1,0.102128056,11,0.001673072,0.000528374,14.65,0.00329704,0.002560391,3.65
Heat shock protein HSP 90-beta,0.102128056,15.33333333,0.002277367,0.000506803,13.1,0.002800261,0.001402251,-2.233333333
Calmodulin-like protein 5,0.103821758,2.888888889,0.000453805,0.000464145,3.7,0.000678351,0.001226777,0.811111111
Complement C4-A,0.103821758,10.22222222,0.001539678,0.002630566,7.3,0.001659485,0.003297918,-2.922222222
Complement C4-B,0.103821758,10.55555556,0.001589361,0.002725343,7.45,0.001692675,0.003397419,-3.105555556
Cytosolic phospholipase A2 delta,0.104009014,1.555555556,0.000211182,0.000258293,0.6,0.000121344,0.000246134,-0.955555556
40S ribosomal protein S9,0.106958102,0.555555556,8.06E-05,0.000122991,0.2,4.19E-05,8.76E-05,-0.355555556
L-lactate dehydrogenase A-like 6B,0.106958102,0.666666667,0.000101131,0.000166413,0.25,4.71E-05,0.00010422,-0.416666667
Ras-related protein Rab-6A,0.110530347,0.444444444,5.96E-05,9.05E-05,0.55,0.000124882,0.000164537,0.105555556
Tripeptidyl-peptidase 2,0.110693,0.333333333,4.89E-05,7.27E-05,0.2,3.60E-05,8.97E-05,-0.133333333
Ribonuclease 7,0.110693,0.444444444,6.81E-05,0.00011327,0.4,6.07E-05,0.000163503,-0.044444444
Heterogeneous nuclear ribonucleoprotein C-like 2,0.110693,0.333333333,5.12E-05,7.46E-05,0.2,4.49E-05,0.000128339,-0.133333333
Immunoglobulin heavy variable 1-69-2,0.110693,0.444444444,7.10E-05,0.000111773,0.25,8.02E-05,0.000213918,-0.194444444
Calcium-activated chloride channel regulator 4,0.111150829,4,0.000637732,0.000591312,1.75,0.000454346,0.000579892,-2.25
Catalase,0.111150829,13.55555556,0.002072072,0.002732546,6.85,0.001817944,0.002942992,-6.705555556
26S proteasome regulatory subunit 7,0.111281331,0.222222222,3.11E-05,6.05E-05,0.1,1.48E-05,4.51E-05,-0.122222222
40S ribosomal protein S13,0.111281331,0.555555556,8.42E-05,0.000204917,0.1,2.15E-05,6.79E-05,-0.455555556
Integrin alpha-M,0.111281331,0.444444444,7.19E-05,0.000162604,0.15,3.41E-05,0.000111804,-0.294444444
Ankyrin-3,0.111281331,0.333333333,4.99E-05,0.000101622,0.1,2.56E-05,7.79E-05,-0.233333333
"Hydroxyacylglutathione hydrolase, mitochondrial",0.111281331,0.333333333,5.12E-05,0.000106315,0.1,2.24E-05,6.98E-05,-0.233333333
Rab GDP dissociation inhibitor alpha,0.114198451,2.555555556,0.000369658,0.000436609,0.7,0.000151498,0.000193007,-1.855555556
Actin-related protein 3B,0.114344498,2.444444444,0.000364296,0.00012305,1.35,0.000308533,0.000245016,-1.094444444
"Actin, gamma-enteric smooth muscle",0.114631508,127.6666667,0.019280633,0.005574819,80.2,0.017555017,0.006461014,-47.46666667
POTE ankyrin domain family member I,0.114631508,27.55555556,0.004196065,0.001481187,19.15,0.004156211,0.002863584,-8.405555556
Ras-related protein Rab-14,0.116139968,0.555555556,7.93E-05,0.000144966,0.6,0.000130372,0.000158722,0.044444444
Desmin,0.116139968,0.555555556,9.06E-05,0.000155651,0.75,0.000166168,0.000248604,0.194444444
L-lactate dehydrogenase A-like 6A,0.118100677,0.444444444,6.37E-05,7.42E-05,0.45,9.35E-05,0.00020386,0.005555556
Prolactin-inducible protein,0.119054837,1.777777778,0.000261111,0.000622612,5.25,0.000870203,0.002024718,3.472222222
"Sulfide:quinone oxidoreductase, mitochondrial",0.11918401,0.333333333,4.32E-05,8.61E-05,0.45,9.79E-05,0.000150774,0.116666667
Eukaryotic translation initiation factor 3 subunit D,0.11918401,0.333333333,4.44E-05,8.77E-05,0.55,9.56E-05,0.000142898,0.216666667
Tubulin--tyrosine ligase-like protein 12,0.11918401,0.555555556,7.84E-05,9.93E-05,0.25,5.19E-05,9.76E-05,-0.305555556
Immunoglobulin kappa variable 2-24,0.11918401,0.333333333,5.10E-05,0.000106072,0.45,0.000130224,0.000220514,0.116666667
Transmembrane protease serine 11B,0.119553652,1.333333333,0.000194067,0.000210313,1.9,0.000392952,0.000476509,0.566666667
Aldo-keto reductase family 1 member B15,0.120954576,1.555555556,0.000223821,0.000259093,0.8,0.000158001,0.00022062,-0.755555556
Annexin A8-like protein 1,0.120986059,4.444444444,0.0006346,0.000446699,2.35,0.00062194,0.000821324,-2.094444444
Ribonuclease inhibitor,0.121592985,2.777777778,0.000396786,0.000299724,1.75,0.000324502,0.000412164,-1.027777778
Immunoglobulin heavy variable 3-49,0.121592985,1,0.000156197,0.000152782,1.1,0.0002872,0.000320775,0.1
Puromycin-sensitive aminopeptidase-like protein,0.126538042,2.777777778,0.000403619,0.000269387,1.7,0.000350489,0.00030996,-1.077777778
Myeloperoxidase,0.128070437,46.33333333,0.007217538,0.006501556,26.9,0.006115077,0.007066102,-19.43333333
F-box only protein 50,0.128070437,8.333333333,0.001243865,0.000471843,5.1,0.001125899,0.001156014,-3.233333333
Chloride intracellular channel protein 3,0.128070437,6.555555556,0.00098373,0.000306816,4.2,0.000837541,0.000704186,-2.355555556
Protein S100-A9,0.128187618,175.7777778,0.026077907,0.011880832,97.55,0.022523294,0.015572193,-78.22777778
14-3-3 protein epsilon,0.128187618,8.777777778,0.001300666,0.000746804,6.15,0.001389683,0.000579971,-2.627777778
Elongation factor 2,0.128187618,26.11111111,0.003825778,0.001733791,16.95,0.00331159,0.002391409,-9.161111111
Immunoglobulin lambda constant 6,0.128187618,9.333333333,0.001420526,0.001095891,8.9,0.001995802,0.001300688,-0.433333333
Rab GDP dissociation inhibitor beta,0.128187618,9,0.001323141,0.000615842,5.35,0.001065366,0.000622208,-3.65
Ras-related protein Rab-25,0.129686942,0.333333333,4.53E-05,6.64E-05,0.2,4.54E-05,0.000128761,-0.133333333
Dual oxidase 2,0.129686942,0.333333333,4.96E-05,7.31E-05,0.15,3.33E-05,8.19E-05,-0.183333333
Protein-arginine deiminase type-4,0.129686942,0.333333333,5.22E-05,7.62E-05,0.4,8.06E-05,0.00023026,0.066666667
Titin,0.129686942,0.333333333,5.22E-05,7.62E-05,0.15,3.79E-05,9.16E-05,-0.183333333
Erlin-1,0.129686942,0.333333333,5.25E-05,7.65E-05,0.2,7.00E-05,0.00018401,-0.133333333
Prostatic acid phosphatase,0.129686942,1.888888889,0.00028072,0.000817016,3.1,0.000513233,0.001215816,1.211111111
Tumor-associated calcium signal transducer 2,0.131514211,1,0.000159958,0.000180079,0.6,0.000148157,0.000303922,-0.4
Voltage-dependent anion-selective channel protein 1,0.131552022,1.111111111,0.00016439,0.000124801,0.8,0.000288595,0.000711744,-0.311111111
Elongation factor 1-beta,0.132866251,2.777777778,0.000408135,0.000223171,1.95,0.00036665,0.00035538,-0.827777778
Immunoglobulin heavy variable 3-9,0.132866251,1.666666667,0.000256864,0.000226674,1.85,0.000494682,0.00062174,0.183333333
"Glycogen phosphorylase, brain form",0.134021213,0.333333333,4.52E-05,8.88E-05,0.1,2.19E-05,6.69E-05,-0.233333333
Coiled-coil domain-containing protein 18,0.134021213,0.222222222,3.19E-05,6.23E-05,0.1,1.57E-05,4.80E-05,-0.122222222
Immunoglobulin lambda variable 3-9,0.134021213,0.333333333,5.10E-05,0.000106072,0.15,3.70E-05,0.000119903,-0.183333333
Immunoglobulin kappa variable 2D-30,0.134021213,0.333333333,4.99E-05,0.000101622,0.15,3.70E-05,0.000119903,-0.183333333
Immunoglobulin heavy variable 3-43D,0.134021213,0.333333333,5.10E-05,0.000106072,0.2,4.80E-05,0.000169446,-0.133333333
Immunoglobulin heavy variable 3-43,0.134021213,0.333333333,5.10E-05,0.000106072,0.2,4.80E-05,0.000169446,-0.133333333
Erythrocyte membrane protein band 4.2,0.134021213,0.444444444,6.86E-05,0.000153129,0.15,3.88E-05,0.000123139,-0.294444444
"Aldehyde dehydrogenase, dimeric NADP-preferring",0.134021213,0.222222222,3.20E-05,6.16E-05,0.1,1.48E-05,4.51E-05,-0.122222222
Protein S100-A7A,0.134331068,4.333333333,0.000653293,0.000715466,4.65,0.001029852,0.001431229,0.316666667
Histone H3.2,0.135072339,11.77777778,0.001792151,0.001549424,6.1,0.001281453,0.000942299,-5.677777778
Proteasome subunit alpha type-1,0.135848466,0.222222222,3.36E-05,6.48E-05,0.45,0.000137095,0.000244317,0.227777778
Elafin,0.136123798,12.11111111,0.00189424,0.002244238,5.65,0.000950678,0.001682663,-6.461111111
"Isocitrate dehydrogenase [NADP], mitochondrial",0.136123798,2.111111111,0.000337114,0.000401579,2.05,0.000488963,0.000459417,-0.061111111
Complement factor B,0.136123798,1.555555556,0.000229827,0.000296643,2.65,0.00058427,0.000873983,1.094444444
Kininogen-1,0.136309096,0.888888889,0.000133012,0.000194574,0.55,0.000119709,0.000264001,-0.338888889
"Keratin, type I cytoskeletal 10",0.13920923,3.111111111,0.000467083,0.000421481,5.2,0.000946787,0.001128168,2.088888889
Synaptic vesicle membrane protein VAT-1 homolog,0.13920923,3.555555556,0.000508819,0.000387779,2.05,0.000382622,0.0003801,-1.505555556
Lysozyme C,0.142521697,14.33333333,0.00227857,0.001991538,8.75,0.001988326,0.002249359,-5.583333333
POTE ankyrin domain family member F,0.142818696,42.66666667,0.006461621,0.001985883,28.55,0.006177494,0.002750612,-14.11666667
Beta-actin-like protein 2,0.142818696,31.77777778,0.00483109,0.001563888,25.7,0.005807625,0.002458691,-6.077777778
Peroxiredoxin-2,0.142818696,16.88888889,0.002538739,0.002505059,11.6,0.002701553,0.003081044,-5.288888889
Fibronectin,0.143728575,1.555555556,0.000236922,0.000418205,0.9,0.000205186,0.000557086,-0.655555556
Kallikrein-7,0.144650689,0.666666667,0.000101377,0.000126701,1.8,0.000350595,0.000572508,1.133333333
Emerin,0.150826867,0.222222222,3.70E-05,0.000107696,0.35,6.47E-05,0.000120631,0.127777778
"Trifunctional enzyme subunit alpha, mitochondrial",0.155045665,0.666666667,0.000102835,0.000159275,0.25,6.04E-05,0.00011014,-0.416666667
Peptidoglycan recognition protein 1,0.155045665,1.111111111,0.000178795,0.00031561,0.85,0.000184404,0.00036266,-0.261111111
DNA polymerase zeta catalytic subunit,0.156540368,0.111111111,1.63E-05,4.74E-05,0.2,4.66E-05,9.92E-05,0.088888889
Protein phosphatase 1 regulatory subunit 36,0.156540368,0.111111111,1.63E-05,4.74E-05,0.6,0.000142281,0.000328008,0.488888889
"Keratin, type I cuticular Ha4",0.15685839,2.555555556,0.000367461,0.000315829,2.25,0.000483999,0.000393845,-0.305555556
"Keratin, type I cuticular Ha1",0.15685839,2.555555556,0.000367461,0.000315829,2.25,0.000483999,0.000393845,-0.305555556
"Keratin, type I cytoskeletal 40",0.15685839,2.555555556,0.000367461,0.000315829,2.25,0.000483999,0.000393845,-0.305555556
"Keratin, type I cuticular Ha3-II",0.15685839,2.555555556,0.000367461,0.000315829,2.25,0.000483999,0.000393845,-0.305555556
Sulfotransferase family cytosolic 2B member 1,0.157421637,1.333333333,0.000184007,0.000190925,0.7,0.000149732,0.000203576,-0.633333333
Heterogeneous nuclear ribonucleoprotein K,0.157491246,3.111111111,0.000466905,0.000176288,2.15,0.000448675,0.000450789,-0.961111111
Tubulin beta-8 chain-like protein LOC260334,0.157941278,5.666666667,0.00085305,0.000372857,3.5,0.000682371,0.000531369,-2.166666667
Fibrinogen beta chain,0.158240375,16.33333333,0.002484936,0.00401405,9.9,0.002202649,0.002790003,-6.433333333
Aldo-keto reductase family 1 member B10,0.158508933,7.222222222,0.001082585,0.000654428,5.25,0.001027762,0.001003446,-1.972222222
Immunoglobulin heavy constant gamma 1,0.158538736,82.88888889,0.012613571,0.004128894,61.05,0.013127426,0.011632681,-21.83888889
Protein S100-A7,0.158538736,22.44444444,0.003380612,0.003432958,19.7,0.004611744,0.005110056,-2.744444444
"Peroxiredoxin-5, mitochondrial",0.158538736,7,0.001043932,0.00042558,4.45,0.000949026,0.000572788,-2.55
Histone H2A type 2-A,0.158538736,38.44444444,0.005810025,0.002582763,24.7,0.005678138,0.003338804,-13.74444444
Heat shock protein HSP 90-alpha,0.158538736,10.44444444,0.001552802,0.000269135,7,0.001470782,0.000751555,-3.444444444
14-3-3 protein gamma,0.158538736,14,0.002119239,0.000519525,8.65,0.001806462,0.000641161,-5.35
Moesin,0.158538736,7.222222222,0.001104033,0.000471167,4.4,0.000982743,0.000436176,-2.822222222
"Glycogen phosphorylase, muscle form",0.159765603,0.222222222,3.19E-05,6.23E-05,0.1,2.19E-05,6.69E-05,-0.122222222
60S ribosomal protein L18a,0.159765603,0.222222222,2.88E-05,5.57E-05,0.15,2.41E-05,7.67E-05,-0.072222222
60S ribosomal protein L26,0.159765603,0.222222222,3.11E-05,6.05E-05,0.15,2.93E-05,8.92E-05,-0.072222222
60S ribosomal protein L26-like 1,0.159765603,0.222222222,3.11E-05,6.05E-05,0.15,2.93E-05,8.92E-05,-0.072222222
Plasma protease C1 inhibitor,0.159765603,1.111111111,0.000163755,0.000422753,0.8,0.000179655,0.000554093,-0.311111111
Adenosylhomocysteinase,0.159765603,0.222222222,3.28E-05,6.31E-05,0.1,2.62E-05,7.96E-05,-0.122222222
Immunoglobulin lambda variable 1-47,0.159765603,0.333333333,5.10E-05,0.000106072,0.2,4.86E-05,0.000147742,-0.133333333
Erlin-2,0.159765603,0.222222222,3.62E-05,6.97E-05,0.15,5.96E-05,0.000181667,-0.072222222
Ras-related protein Rab-5C,0.159765603,0.222222222,3.59E-05,6.91E-05,0.1,2.34E-05,7.22E-05,-0.122222222
Protein disulfide-isomerase A4,0.159765603,0.222222222,3.50E-05,6.76E-05,0.1,2.56E-05,7.80E-05,-0.122222222
40S ribosomal protein S16,0.159765603,0.222222222,3.32E-05,6.41E-05,0.25,3.97E-05,0.000140841,0.027777778
Staphylococcal nuclease domain-containing protein 1,0.159765603,0.222222222,3.20E-05,6.16E-05,0.1,1.75E-05,5.35E-05,-0.122222222
Repetin,0.166329252,4.333333333,0.000629622,0.000724434,5.7,0.00093409,0.002182182,1.366666667
Histone H3.1,0.166510966,10.55555556,0.001593781,0.001375064,5.75,0.001220675,0.000833689,-4.805555556
Immunoglobulin heavy constant mu,0.168632561,3.777777778,0.000559591,0.0007894,7.95,0.001774225,0.002984377,4.172222222
Guanine nucleotide-binding protein G(i) subunit alpha-2,0.170349774,1.333333333,0.00020029,0.000124883,0.9,0.000195761,0.000213679,-0.433333333
Small proline-rich protein 2E,0.171736012,8.444444444,0.001284885,0.001220919,4.55,0.000843384,0.000796397,-3.894444444
Alpha-1-acid glycoprotein 2,0.173148256,1.444444444,0.000216896,0.000428143,1.4,0.000311488,0.000556572,-0.044444444
Alpha-2-macroglobulin,0.173679126,21.11111111,0.003179724,0.004925726,18.65,0.004609938,0.006743711,-2.461111111
Protein disulfide-isomerase A6,0.174757747,2,0.000301874,0.00014404,2.1,0.000449841,0.000416414,0.1
Neutrophil gelatinase-associated lipocalin,0.175233863,9.888888889,0.001506311,0.001014052,8.5,0.001811791,0.002327091,-1.388888889
Immunoglobulin lambda constant 7,0.175233863,5.888888889,0.000890238,0.001143407,4.65,0.001074407,0.000939255,-1.238888889
Histone H2B type 1-D,0.17535258,49.22222222,0.007383634,0.003144515,33.9,0.007294306,0.004372663,-15.32222222
Histone H2B type 1-J,0.17535258,46.33333333,0.006957837,0.002905707,31.75,0.006869847,0.004356549,-14.58333333
Histone H2B type 1-K,0.17535258,48,0.007186631,0.003056832,31.85,0.006885383,0.004353601,-16.15
Phosphoglycerate mutase 1,0.17535258,20.88888889,0.00314405,0.000964601,14.75,0.002943254,0.001782576,-6.138888889
Cytochrome P450 2A13,0.176048462,0,0,0,0.05,1.19E-05,5.25E-05,0.05
Inositol monophosphatase 2,0.176048462,0,0,0,0.1,2.74E-05,0.000120802,0.1
"ATP-dependent 6-phosphofructokinase, muscle type",0.176048462,0,0,0,0.1,2.74E-05,0.000120802,0.1
Glutathione synthetase,0.176048462,0,0,0,0.15,4.10E-05,0.000181186,0.15
Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform,0.176048462,0,0,0,0.05,1.68E-05,7.42E-05,0.05
Cartilage oligomeric matrix protein,0.176048462,0,0,0,0.1,2.50E-05,0.000110318,0.1
Alpha-hemoglobin-stabilizing protein,0.176048462,0,0,0,0.1,2.50E-05,0.000110318,0.1
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3,0.176048462,0,0,0,0.05,1.25E-05,5.52E-05,0.05
Putative hydroxypyruvate isomerase,0.176048462,0,0,0,0.05,1.25E-05,5.52E-05,0.05
Mucin-6,0.176048462,0,0,0,0.1,1.76E-05,7.78E-05,0.1
Thioredoxin reductase 3,0.176048462,0,0,0,0.05,9.46E-06,4.18E-05,0.05
"Arginase-2, mitochondrial",0.176048462,0,0,0,0.1,1.70E-05,7.53E-05,0.1
G patch domain-containing protein 8,0.176048462,0,0,0,0.05,8.52E-06,3.76E-05,0.05
Lumican,0.176048462,0,0,0,0.25,5.24E-05,0.000231201,0.25
Basement membrane-specific heparan sulfate proteoglycan core protein,0.176048462,0,0,0,0.2,4.19E-05,0.000184975,0.2
Alpha-2-antiplasmin,0.176048462,0,0,0,0.2,4.19E-05,0.000184975,0.2
Disks large homolog 4,0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, A-33 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, A-26 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, A-34 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, A-74 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, A-32 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, Cw-5 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, A-11 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, A-31 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, A-23 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, A-69 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, A-24 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, A-30 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, Cw-16 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, A-1 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, A-80 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, A-3 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, Cw-17 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, Cw-15 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, Cw-8 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, Cw-2 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
"HLA class I histocompatibility antigen, B-73 alpha chain",0.176048462,0,0,0,0.05,1.05E-05,4.63E-05,0.05
